Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6
6.2107,-0.85984,-2.697,0.00606,5.1497,1.1681,-1.662,0.00729,4.5635,-1.0904,-0.86022,0.40517,6.0259,0.36341,-0.49638,-0.00477,8.1971,0.63974,2.7951,0.02716,4.0884,0.047393,-1.9599,0.01022
7.2854,-0.95315,-2.6397,0.00202,7.0397,0.84547,0.12543,-0.00366,4.6903,1.0656,-1.6623,-0.03372,5.2632,-1.1394,-0.61588,-0.01372,6.0279,0.25647,-0.57079,-0.0043,3.8264,-0.055171,-1.9343,-0.00988
6.975,0.66087,0.15781,-0.01486,7.0484,-0.54872,-0.36218,-0.00035,4.7839,1.1991,-1.1559,0.00789,4.9185,-1.2555,-0.9779,0.17539,5.7354,0.25182,-0.57218,-0.00435,3.2574,0.15334,-2.1081,0.0322
6.6423,-0.54931,-2.8566,0.01458,7.0316,-0.75256,-0.36217,0.00151,4.24,1.0067,-0.91423,0.00362,4.9897,-1.3781,-1.816,0.03929,5.919,0.06148,-0.45651,0.00117,3.1925,0.091875,-1.8555,0.01687
6.1395,-0.32215,-2.5727,-0.00208,6.0553,-0.57173,-0.53277,-0.00081,5.4361,1.1789,-0.97017,0.00163,4.4989,-0.92838,-1.6086,0.10011,5.9436,0.27932,-0.46729,-0.00366,4.1098,0.27116,-1.8258,-0.02325
6.2794,-0.22864,-2.7823,-0.00096,5.9656,-0.63681,-0.69328,0.00013,5.1431,1.2042,-1.4271,-0.00092,5.0028,-0.88461,-2.0077,0.0314,6.0616,0.33868,-0.60349,0.00037,4.139,0.36524,-2.1338,-0.04029
6.0742,0.062446,-2.8486,0.0008,6.0002,-0.62327,-0.77032,0.0003,6.3737,-0.63401,1.406,-0.00351,5.5954,1.2603,-1.2637,0.00076,4.5461,-0.77833,-2.0398,0.06307,4.419,0.45574,-2.2571,-0.02442
6.5098,0.030221,-2.887,0,6.1964,-0.75572,-0.65629,0.00292,5.2361,1.1925,-1.4051,0.00469,4.5526,-0.95558,-2.0536,-0.02094,6.3206,0.25862,-0.85323,0.0001,4.664,0.259,-2.0482,-0.00705
5.7437,-0.89097,-0.5702,0.01268,6.8512,-0.52843,1.4989,0.00097,5.2043,1.1358,-1.4549,-0.01638,4.6961,-1.2434,-2.249,0.00709,6.0258,0.037708,-1.0157,0.0002,4.7164,0.034624,-2.1676,0.00281
6.7562,0.72713,1.0196,0.00083,6.6739,-0.58797,1.43,0.00044,4.8568,1.1181,-1.4807,0.04853,4.9108,-1.1981,-1.6788,-0.06151,5.6101,0.014114,-0.99874,-0.00215,4.4643,0.021513,-2.3512,-0.0069
6.3909,0.29767,0.32677,0.02049,6.6452,-0.6132,1.315,0.00075,4.9529,1.1146,-1.2997,-0.01282,4.3781,-1.0345,-1.5063,-0.09659,5.7397,0.097926,-1.0721,-0.00243,4.1712,0.042455,-2.3296,0.05883
6.9924,-0.0049322,3.1298,0.01429,6.5184,0.75291,0.88421,0.00379,4.5552,1.0981,-1.112,0.01788,4.8988,-0.8895,-1.9318,-0.02754,6.0639,0.11781,-1.2134,0.00023,4.3616,0.16566,-2.4129,0.00987
6.3328,0.20781,0.28597,0.00534,6.1472,0.89623,1.0536,0.00625,6.6343,-0.65544,1.5156,-0.00228,4.4773,1.0917,-0.951,-0.06915,4.6468,-0.75983,-1.9872,-0.05141,4.9055,0.29823,-2.31,0.00027
6.7805,-0.12046,-2.9304,0.01437,6.8177,0.3443,0.48195,0.00186,6.3653,-0.68572,1.5307,-0.01105,5.4489,1.258,-0.97042,0.00653,4.3564,-0.6009,-1.7369,0.10034,4.8721,0.30546,-2.2082,0.02226
7.0241,-0.1653,-2.9839,0.0059,6.7358,0.43637,0.44119,0.00189,6.5083,-0.65965,1.6553,-0.00265,4.3591,1.3506,-1.0581,0.02939,4.5107,-0.74658,-1.8362,-0.08697,4.6014,0.26069,-2.3134,0.02152
6.7465,-0.022201,-2.902,-0.00099,6.8247,0.48622,0.41125,-0.00293,6.2552,-0.69648,1.5294,0.02262,5.4529,1.282,-0.5605,0.00157,4.4556,-0.51988,-1.7334,0.37359,4.8854,0.57061,-2.383,-0.00914
7.0098,-0.59136,2.7254,0.00738,6.732,0.17668,-2.9205,-0.00062,7.4057,0.36344,0.45811,-0.0119,5.8707,-0.73503,1.5291,-0.02471,4.5968,-0.42407,-1.765,-0.01773,4.7742,0.86197,-2.3423,-0.01218
6.6087,0.40181,-3.0191,0.02529,6.3671,0.94807,2.4885,-0.00261,6.2607,-0.70562,1.7547,-0.00641,5.9943,0.77093,-0.20225,-0.00903,4.1556,-0.53362,-1.58,-0.00778,4.2295,1.0208,-1.9561,0.74457
6.7646,0.37828,-2.9883,0.0001,6.2536,-0.72279,1.6332,-0.00756,6.6386,0.2683,2.5328,0.0076,5.9955,0.77226,-0.3096,-0.00281,4.5713,-0.57905,-1.2761,-0.00735,4.8251,0.92161,-1.8274,-0.00612
6.0668,1.0707,2.4452,-0.00165,6.4939,-0.71658,1.6017,-0.01455,5.4697,0.71665,-0.35324,-0.00718,4.8985,-0.72254,-1.3252,0.03206,4.6,0.88248,-2.0996,-0.00022,5.1209,-0.79724,-2.8452,0.00357
7.1426,-0.47224,2.8566,0.00039,6.9744,0.98404,2.1906,0.00803,5.1893,-0.85011,1.5171,-0.02731,4.7633,-0.37173,-1.2046,0.00241,4.5461,1.0899,-2.4628,0.00394,4.8951,-0.78476,-2.3935,0.00057
6.3783,1.168,2.3078,0.00268,6.0762,-0.75385,1.582,-0.02788,5.7733,0.069542,-2.1385,-0.0016,4.7047,-0.51108,-1.0212,0.08252,6.7718,-0.69331,0.27499,-0.00047,4.4709,0.84919,-2.3617,-0.05242
5.9787,0.9657,2.7112,0.02623,6.887,-0.6545,1.343,0.0009,6.008,-0.346,-2.1428,0.00679,4.9901,-0.62606,-0.83827,-0.01477,4.0777,0.50421,-2.4936,0.00326,5.314,-1.1624,-2.4802,0.00334
6.795,0.75779,1.562,0.00181,6.6253,-0.66521,1.4245,-0.00031,6.3602,-0.29642,-2.2932,-0.00056,4.7583,-0.72604,-0.93411,0.10884,4.8716,0.47755,-2.4222,-0.01023,4.8273,-1.0708,-2.6667,-0.05923
6.3739,0.25117,-0.066677,0.00033,5.5013,1.2446,-0.29567,-0.00222,4.5439,-0.77927,-0.93739,-0.01641,7.1685,-0.73978,0.36873,-0.00073,5.9055,0.41455,-2.2445,-0.00023,5.3625,-1.0975,-2.7622,0.00213
7.1748,-0.58296,2.6807,-0.00154,6.6125,0.19061,-0.04591,0.00415,6.2546,-0.72229,1.5039,-0.00138,5.599,1.2542,0.053277,-0.00059,3.8224,-0.6578,-1.015,0.07562,6.3201,0.66474,-2.2421,0.00024
6.2418,-0.66073,1.6639,-0.00049,5.4677,1.1768,-0.10194,-0.00202,3.9523,-0.74676,-1.3194,0.09009,6.6624,0.51235,-0.77452,0.00103,6.4148,0.81544,-2.2588,0.00016,5.5572,-0.73591,-2.6416,3e-05
